DATE,Value
01-01-1985,72.5052
02-01-1985,70.672
03-01-1985,62.4502
04-01-1985,57.4714
05-01-1985,55.3151
06-01-1985,58.0904
07-01-1985,62.6202
08-01-1985,63.2485
09-01-1985,60.5846
10-01-1985,56.3154
11-01-1985,58.0005
12-01-1985,68.7145
01-01-1986,73.3057
02-01-1986,67.9869
03-01-1986,62.2221
04-01-1986,57.0329
05-01-1986,55.8137
06-01-1986,59.9005
07-01-1986,65.7655
08-01-1986,64.4816
09-01-1986,61.0005
10-01-1986,57.5322
11-01-1986,59.3417
12-01-1986,68.1354
01-01-1987,73.8152
02-01-1987,70.062
03-01-1987,65.61
04-01-1987,60.1586
05-01-1987,58.8734
06-01-1987,63.8918
07-01-1987,68.8694
08-01-1987,70.0669
09-01-1987,64.1151
10-01-1987,60.3789
11-01-1987,62.4643
12-01-1987,70.5777
01-01-1988,79.8703
02-01-1988,76.1622
03-01-1988,70.2928
04-01-1988,63.2384
05-01-1988,61.4065
06-01-1988,67.1097
07-01-1988,72.9816
08-01-1988,75.7655
09-01-1988,67.5152
10-01-1988,63.2832
11-01-1988,65.1078
12-01-1988,73.8631
01-01-1989,77.9188
02-01-1989,76.6822
03-01-1989,73.3523
04-01-1989,65.1081
05-01-1989,63.6892
06-01-1989,68.4722
07-01-1989,74.0301
08-01-1989,75.0448
09-01-1989,69.3053
10-01-1989,65.8735
11-01-1989,69.0706
12-01-1989,84.1949
01-01-1990,84.3598
02-01-1990,77.1726
03-01-1990,73.1964
04-01-1990,67.2781
05-01-1990,65.8218
06-01-1990,71.4654
07-01-1990,76.614
08-01-1990,77.1052
09-01-1990,73.061
10-01-1990,67.4365
11-01-1990,68.5665
12-01-1990,77.6839
01-01-1991,86.0214
02-01-1991,77.5573
03-01-1991,73.365
04-01-1991,67.15
05-01-1991,68.8162
06-01-1991,74.8448
07-01-1991,80.0928
08-01-1991,79.1606
09-01-1991,73.5743
10-01-1991,68.7538
11-01-1991,72.5166
12-01-1991,79.4894
01-01-1992,85.2855
02-01-1992,80.1643
03-01-1992,74.5275
04-01-1992,69.6441
05-01-1992,67.1784
06-01-1992,71.2078
07-01-1992,77.5081
08-01-1992,76.5374
09-01-1992,72.3541
10-01-1992,69.0286
11-01-1992,73.4992
12-01-1992,84.5159
01-01-1993,87.9464
02-01-1993,84.5561
03-01-1993,79.4747
04-01-1993,71.0578
05-01-1993,67.6762
06-01-1993,74.3297
07-01-1993,82.1048
08-01-1993,82.0605
09-01-1993,74.6031
10-01-1993,69.681
11-01-1993,74.4292
12-01-1993,84.2284
01-01-1994,94.1386
02-01-1994,87.1607
03-01-1994,79.2456
04-01-1994,70.9749
05-01-1994,69.3844
06-01-1994,77.9831
07-01-1994,83.277
08-01-1994,81.8872
09-01-1994,75.6826
10-01-1994,71.2661
11-01-1994,75.2458
12-01-1994,84.8147
01-01-1995,92.4532
02-01-1995,87.4033
03-01-1995,81.2661
04-01-1995,73.8167
05-01-1995,73.2682
06-01-1995,78.3026
07-01-1995,85.9841
08-01-1995,89.5467
09-01-1995,78.5035
10-01-1995,73.7066
11-01-1995,79.6543
12-01-1995,90.8251
01-01-1996,98.9732
02-01-1996,92.8883
03-01-1996,86.9356
04-01-1996,77.2214
05-01-1996,76.6826
06-01-1996,81.9306
07-01-1996,85.9606
08-01-1996,86.5562
09-01-1996,79.1919
10-01-1996,74.6891
11-01-1996,81.074
12-01-1996,90.4855
01-01-1997,98.4613
02-01-1997,89.7795
03-01-1997,83.0125
04-01-1997,76.1476
05-01-1997,73.8471
06-01-1997,79.7645
07-01-1997,88.4519
08-01-1997,87.7828
09-01-1997,81.9386
10-01-1997,77.5027
11-01-1997,82.0448
12-01-1997,92.101
01-01-1998,94.792
02-01-1998,87.82
03-01-1998,86.5549
04-01-1998,76.7521
05-01-1998,78.0303
06-01-1998,86.4579
07-01-1998,93.8379
08-01-1998,93.531
09-01-1998,87.5414
10-01-1998,80.0924
11-01-1998,81.4349
12-01-1998,91.6841
01-01-1999,102.1348
02-01-1999,91.1829
03-01-1999,90.7381
04-01-1999,80.5176
05-01-1999,79.3887
06-01-1999,87.8431
07-01-1999,97.4903
08-01-1999,96.4157
09-01-1999,87.2248
10-01-1999,80.6409
11-01-1999,82.2025
12-01-1999,94.5113
01-01-2000,102.2301
02-01-2000,94.2989
03-01-2000,88.0927
04-01-2000,81.4425
05-01-2000,84.4552
06-01-2000,91.0406
07-01-2000,95.9957
08-01-2000,99.3704
09-01-2000,90.9178
10-01-2000,83.1408
11-01-2000,88.041
12-01-2000,102.4558
01-01-2001,109.1081
02-01-2001,97.1717
03-01-2001,92.8283
04-01-2001,82.915
05-01-2001,82.5465
06-01-2001,90.3955
07-01-2001,96.074
08-01-2001,99.5534
09-01-2001,88.281
10-01-2001,82.686
11-01-2001,82.9319
12-01-2001,93.0381
01-01-2002,102.9955
02-01-2002,95.2075
03-01-2002,93.2556
04-01-2002,85.795
05-01-2002,85.2351
06-01-2002,93.1896
07-01-2002,102.393
08-01-2002,101.6293
09-01-2002,93.3089
10-01-2002,86.9002
11-01-2002,88.5749
12-01-2002,100.8003
01-01-2003,110.1807
02-01-2003,103.8413
03-01-2003,94.5532
04-01-2003,85.062
05-01-2003,85.4653
06-01-2003,91.0761
07-01-2003,102.22
08-01-2003,104.4682
09-01-2003,92.9135
10-01-2003,86.5047
11-01-2003,88.5735
12-01-2003,103.5428
01-01-2004,113.7226
02-01-2004,106.159
03-01-2004,95.4029
04-01-2004,86.7233
05-01-2004,89.0302
06-01-2004,95.5045
07-01-2004,101.7948
08-01-2004,100.2025
09-01-2004,94.024
10-01-2004,87.5262
11-01-2004,89.6144
12-01-2004,105.7263
01-01-2005,111.1614
02-01-2005,101.7795
03-01-2005,98.9565
04-01-2005,86.4776
05-01-2005,87.2234
06-01-2005,99.5076
07-01-2005,108.3501
08-01-2005,109.4862
09-01-2005,99.1155
10-01-2005,89.7567
11-01-2005,90.4587
12-01-2005,108.2257
01-01-2006,104.4724
02-01-2006,101.5196
03-01-2006,98.4017
04-01-2006,87.5093
05-01-2006,90.0222
06-01-2006,100.5244
07-01-2006,110.9503
08-01-2006,111.5192
09-01-2006,95.7632
10-01-2006,90.3738
11-01-2006,92.3566
12-01-2006,103.066
01-01-2007,112.0576
02-01-2007,111.8399
03-01-2007,99.1925
04-01-2007,90.8177
05-01-2007,92.0587
06-01-2007,100.9676
07-01-2007,107.5686
08-01-2007,114.1036
09-01-2007,101.5316
10-01-2007,93.0068
11-01-2007,93.9126
12-01-2007,106.7528
01-01-2008,114.8331
02-01-2008,108.2353
03-01-2008,100.4386
04-01-2008,90.9944
05-01-2008,91.2348
06-01-2008,103.9581
07-01-2008,110.7631
08-01-2008,107.5665
09-01-2008,97.7183
10-01-2008,90.9979
11-01-2008,93.8057
12-01-2008,109.4221
01-01-2009,116.8316
02-01-2009,104.4202
03-01-2009,97.8529
04-01-2009,88.1973
05-01-2009,87.5366
06-01-2009,97.2387
07-01-2009,103.9086
08-01-2009,105.7486
09-01-2009,94.8823
10-01-2009,89.2977
11-01-2009,89.3585
12-01-2009,110.6844
01-01-2010,119.0166
02-01-2010,110.533
03-01-2010,98.2672
04-01-2010,86.3
05-01-2010,90.8364
06-01-2010,104.3538
07-01-2010,112.8066
08-01-2010,112.9014
09-01-2010,100.1209
10-01-2010,88.9251
11-01-2010,92.775
12-01-2010,114.3266
01-01-2011,119.488
02-01-2011,107.3753
03-01-2011,99.1028
04-01-2011,89.3583
05-01-2011,90.0698
06-01-2011,102.8204
07-01-2011,114.7068
08-01-2011,113.5958
09-01-2011,99.4712
10-01-2011,90.3566
11-01-2011,93.8095
12-01-2011,107.3312
01-01-2012,111.9646
02-01-2012,103.3679
03-01-2012,93.5772
04-01-2012,87.5566
05-01-2012,92.7603
06-01-2012,101.14
07-01-2012,113.0357
08-01-2012,109.8601
09-01-2012,96.7431
10-01-2012,90.3805
11-01-2012,94.3417
12-01-2012,105.2722
01-01-2013,115.501
02-01-2013,106.734
03-01-2013,102.9948
04-01-2013,91.0092
05-01-2013,90.9634
06-01-2013,100.6957
07-01-2013,110.148
08-01-2013,108.1756
09-01-2013,99.2809
10-01-2013,91.7871
11-01-2013,97.2853
12-01-2013,113.4732
01-01-2014,124.2549
02-01-2014,112.8811
03-01-2014,104.7631
04-01-2014,90.2867
05-01-2014,92.134
06-01-2014,101.878
07-01-2014,108.5497
08-01-2014,108.194
09-01-2014,100.4172
10-01-2014,92.3837
11-01-2014,99.7033
12-01-2014,109.3477
01-01-2015,120.2696
02-01-2015,116.3788
03-01-2015,104.4706
04-01-2015,89.7461
05-01-2015,91.093
06-01-2015,102.6495
07-01-2015,111.6354
08-01-2015,110.5925
09-01-2015,101.9204
10-01-2015,91.5959
11-01-2015,93.0628
12-01-2015,103.2203
01-01-2016,117.0837
02-01-2016,106.6688
03-01-2016,95.3548
04-01-2016,89.3254
05-01-2016,90.7369
06-01-2016,104.0375
07-01-2016,114.5397
08-01-2016,115.5159
09-01-2016,102.7637
10-01-2016,91.4867
11-01-2016,92.89
12-01-2016,112.7694
01-01-2017,114.8505
02-01-2017,99.4901
03-01-2017,101.0396
04-01-2017,88.353
05-01-2017,92.0805
06-01-2017,102.1532
07-01-2017,112.1538
08-01-2017,108.9312
09-01-2017,98.6154
10-01-2017,93.6137
11-01-2017,97.3359
12-01-2017,114.7212
01-01-2018,129.4048
